TXN000001,CUST8927,Aarav Sharma,Male,37,Savings,BR118,Connaught Place Branch,Kolkata,2024-02-18,12:27:25.0000000,Deposit,POS,57718.16015625,235376.921875,293095.09375,E-commerce,Success,Desktop,0,4,0,567,6-10 LPA,HNI
TXN000002,CUST4086,Pooja Yadav,Female,64,Savings,BR114,Connaught Place Branch,Delhi,2024-05-08,16:59:40.0000000,Payment,Mobile Banking,41484.390625,257019.046875,215534.65625,Education,Pending,Tablet,1,34,1,305,6-10 LPA,HNI
TXN000003,CUST3654,Karan Malhotra,Male,52,Current,BR110,Banjara Hills Branch,Ahmedabad,2024-04-11,17:32:28.0000000,Withdrawal,POS,47379.37890625,313817.40625,266438.03125,Utilities,Success,Desktop,0,5,0,868,0-3 LPA,HNI
TXN000004,CUST8245,Aditya Verma,Male,56,Savings,BR102,MG Road Branch,Kolkata,2024-01-06,05:19:43.0000000,Deposit,Internet Banking,60017.28125,415267,475284.28125,Retail,Success,Tablet,0,38,0,434,6-10 LPA,Retail
TXN000005,CUST3648,Priya Nair,Female,63,Savings,BR116,Fort Branch,Mumbai,2025-09-10,18:13:57.0000000,Transfer,UPI,81484.65625,194847.375,276332.03125,Grocery,Failed,iPhone,0,90,0,836,6-10 LPA,Premium
TXN000006,CUST9905,Aarav Sharma,Male,58,Current,BR104,MG Road Branch,Bengaluru,2025-02-03,23:41:02.0000000,Withdrawal,POS,66081.1328125,295921.65625,229840.546875,Dining,Pending,Android,1,86,1,540,0-3 LPA,Retail
TXN000007,CUST9184,Aarav Sharma,Male,56,Current,BR101,Connaught Place Branch,Hyderabad,2025-04-17,07:14:19.0000000,Transfer,Internet Banking,67462.0625,47874.87109375,115336.9296875,Retail,Pending,Android,0,81,0,544,0-3 LPA,Retail
TXN000008,CUST2055,Rohan Joshi,Male,62,Savings,BR116,Fort Branch,Bengaluru,2024-11-18,05:13:26.0000000,Transfer,POS,28868.69921875,378374.90625,407243.625,Travel,Failed,Tablet,1,69,1,694,20+ LPA,Premium
TXN000009,CUST5011,Neha Singh,Female,34,Savings,BR117,Connaught Place Branch,Pune,2025-10-03,02:58:50.0000000,Transfer,Internet Banking,95320.6796875,13031.26953125,108351.953125,E-commerce,Failed,Android,0,70,0,394,6-10 LPA,Premium
TXN000010,CUST1187,Nikhil Chavan,Male,27,Savings,BR114,Banjara Hills Branch,Delhi,2024-11-30,18:47:08.0000000,Deposit,UPI,86957.8828125,131072.96875,218030.84375,Retail,Success,Android,1,14,1,645,6-10 LPA,Retail
